Temperature,Year,Month,Country,,
29.56744,1901,6,IND,,
27.26648,1901,7,IND,,
26.102325,1901,8,IND,,
26.085165,1901,9,IND,,
24.893906,1901,10,IND,,
20.548275,1901,11,IND,,
17.317482,1901,12,IND,,
17.526623,1902,1,IND,,
19.108181,1902,2,IND,,
24.207619,1902,3,IND,,
27.102163,1902,4,IND,,
29.484201,1902,5,IND,,
29.130072,1902,6,IND,,
27.02959,1902,7,IND,,
26.775381,1902,8,IND,,
25.67482,1902,9,IND,,
24.091259,1902,10,IND,,
19.996952,1902,11,IND,,
16.914434,1902,12,IND,,
16.693985,1903,1,IND,,
18.109943,1903,2,IND,,
22.094227,1903,3,IND,,
26.503849,1903,4,IND,,
28.897755,1903,5,IND,,
29.413311,1903,6,IND,,
27.438894,1903,7,IND,,
26.100962,1903,8,IND,,
25.984121,1903,9,IND,,
24.038652,1903,10,IND,,
19.4668,1903,11,IND,,
16.473858,1903,12,IND,,
16.481796,1904,1,IND,,
18.64507,1904,2,IND,,
22.634644,1904,3,IND,,
27.409061,1904,4,IND,,
28.731195,1904,5,IND,,
28.369125,1904,6,IND,,
26.351965,1904,7,IND,,
26.060785,1904,8,IND,,
25.76704,1904,9,IND,,
24.186687,1904,10,IND,,
19.770008,1904,11,IND,,
17.071692,1904,12,IND,,
15.624619,1905,1,IND,,
16.5826,1905,2,IND,,
21.11708,1905,3,IND,,
25.048595,1905,4,IND,,
29.291739,1905,5,IND,,
29.749079,1905,6,IND,,
27.077305,1905,7,IND,,
26.41636,1905,8,IND,,
25.995188,1905,9,IND,,
24.457659,1905,10,IND,,
20.901043,1905,11,IND,,
16.932398,1905,12,IND,,
16.172815,1906,1,IND,,
17.829271,1906,2,IND,,
21.746271,1906,3,IND,,
27.106014,1906,4,IND,,
30.18011,1906,5,IND,,
28.480274,1906,6,IND,,
26.94186,1906,7,IND,,
26.044586,1906,8,IND,,
25.697033,1906,9,IND,,
24.274418,1906,10,IND,,
20.85886,1906,11,IND,,
17.763994,1906,12,IND,,
17.666882,1907,1,IND,,
18.007298,1907,2,IND,,
21.556055,1907,3,IND,,
25.445229,1907,4,IND,,
28.309544,1907,5,IND,,
28.536648,1907,6,IND,,
27.492863,1907,7,IND,,
25.597433,1907,8,IND,,
26.083319,1907,9,IND,,
24.632158,1907,10,IND,,
20.904812,1907,11,IND,,
16.651724,1907,12,IND,,
16.363913,1908,1,IND,,
18.646914,1908,2,IND,,
22.551804,1908,3,IND,,
27.989014,1908,4,IND,,
29.270168,1908,5,IND,,
29.409784,1908,6,IND,,
26.326061,1908,7,IND,,
25.597996,1908,8,IND,,
25.610504,1908,9,IND,,
24.073215,1908,10,IND,,
19.759102,1908,11,IND,,
16.327587,1908,12,IND,,
16.735044,1909,1,IND,,
18.332237,1909,2,IND,,
23.563593,1909,3,IND,,
25.79623,1909,4,IND,,
28.91219,1909,5,IND,,
27.838812,1909,6,IND,,
26.059902,1909,7,IND,,
25.818283,1909,8,IND,,
25.426464,1909,9,IND,,
24.177946,1909,10,IND,,
20.996952,1909,11,IND,,
17.281395,1909,12,IND,,
16.61179,1910,1,IND,,
18.579151,1910,2,IND,,
22.888693,1910,3,IND,,
26.726786,1910,4,IND,,
29.263031,1910,5,IND,,
28.0664,1910,6,IND,,
26.410587,1910,7,IND,,
25.944265,1910,8,IND,,
25.697193,1910,9,IND,,
23.61604,1910,10,IND,,
19.14996,1910,11,IND,,
16.331997,1910,12,IND,,
17.387169,1911,1,IND,,
18.269285,1911,2,IND,,
21.756777,1911,3,IND,,
26.759262,1911,4,IND,,
29.824299,1911,5,IND,,
28.20866,1911,6,IND,,
